td.,5
sekarang.,1
ape,3
pah2,1
deket,26
belumm,1
gebss,1
joget2,1
depok,3
logo,1
wwkkwkwkwkwkwkwkwkwk.,1
mengerti,1
sejaman,1
siap2in.,1
bersalah,2
pakarnya.,1
sekali.,1
bagusss.,2
tungguin,4
berguna,1
gimans,5
sementara,1
ajg,1
capeeekkkk.,1
hapus2in,1
nyoba,3
https://www.instagram.com/juanlangoy/,1
berisik.,1
mangga,1
noob,1
iy.,1
jadi?,1
https://maps.google.com/?q=-7.323291,110.498154,1
bakalan,5
semacam,2
sesakit,1
ig,5
kaos,1
tanggal,7
allahhh.,2
bsb,1
abiyu,1
tempatnyaa.,1
effort,2
netflix,1
matii,1
charge,1
telfon,29
ade,4
nyelesein,1
peseennn.,1
toilet,4
teh,1
hoki,1
🥸,1
pasar,2
tanyaainnn.,1
cm,2
awkwkwkwkwk,1
dibayarin,1
dirawat,2
chat,,1
bengkak,2
dikiranya,1
okkeehhh.,1
jangan,32
lupa,18
ibumu,1
met,8
800k,1
ignya,1
2,5,1
29,2
pelatihnya,1
‎document,6
nabrakkk.,1
keluar.,4
kost,2
hubungan,,1
barang.,1
ngewe,22
smg????,1
luluran.,1
220an,1
bgttt,17
keyyy.,1
versi,1
heron?,1
funn,1
herann.,1
positif,1
weekdays,1
wkekwkw.,2
star,3
pertama.,2
dream.,1
tidurrrr.,1
ngerti,8
knp,18
videonya,3
terteranya,1
epic,1
santaiii.,2
yee,4
diet.,2
latief1919,1
bril,,1
solat,1
asbun,1
tiktok,23
dramaaaa.,1
ngis,1
okay,1
cemara,1
pengen.,4
ngurusinnya,1
thun,1
baik,11
durian,1
byeeee.,2
pelan,1
kenapaaa,2
25menittt.,1
3.5,1
becandain,1
siang2,1
digituin.,1
samperin,2
ak.,24
???,4
jauh.,3
yaudahhh.,1
mangkokkkk.,1
quality,1
kok,119
kemanaaa???,1
topic:,8
yaudaaahhh,1
leher,1
depresi,1
sekaligus,1
belasan,1
ternyata,18
beebs.,1
probabilitas,1
briliii.,1
miskin,3
kode,1
enggaa,4
iklan,2
jokowo,2
yaàaaa.,1
pakeee.,1
bener.,4
gemeshh,1
bodohhh,1
20220331_202235.mp4,1
24,3
ngereview,1
ngasih,4
ngerokok?,2
nyetir,3
sinting,1
nyebelin,4
hadoh,4
parkirnya,1
iyee,3
diaaa.,3
manggil2,2
dia?,1
sekali-sekali,1
itupun,2
tape,1
gituu.,2
majuin,1
hjaann.,1
wkwkwkwk.,15
ngelakuin,3
syg,7
chess,1
zara,1
dmn.,1
wkwkwkwkwkkwkwk.,1
hidden.,1
kinda,1
sodaramu?,1
bisa.,5
smpee.,1
xixixi,1
melayang,1
boleehhh.,5
makaci.,1
adek,12
tegal,1
dipesenin,1
kanaannnm,1
niiii.,2
nangiss.,1
temennya,4
laura,1
mending,10
dimarahin,8
-,15
sampeee,2
inii,1
tantemu?,1
eh,40
ngapain,46
bagusss,4
halo,2
maunya,5
skalian.,1
banyak?,1
bsa,5
temporarryyy.,1
kemana.,1
paling,29
nanya?,1
my,3
lhatyy.,1
ngechatnya,1
sekarang,15
gas,6
lusa,1
logikaaa,1
mskdnya,1
tanah,5
ramah,1
talking,1
boleeehhm,1
wkkw,9
pacarnya,2
anjirrttt.,1
rambutnya,6
jajan,2
yusuf,1
anjrittt.,5
ekkswkwkwkwkw.,1
cepett,1
oke,21
mukul,1
mual,3
mananya,1
https://www.tokopedia.com/anurashop/sepatu-nike-pegasus-38-olahraga-running-jogging-pria-wanita-original,1
yaudeh.,1
ceritain.,1
toko,1
ngerokok,,2
ituuu.,4
an,1
posesif,2
depan????,1
sabarr2,1
senior/dokter,1
sih,,4
wkwkwwk.,1
jadiny?,1
dicat,1
‎contact,1
brio/,1
zoom?,3
fotonyaaa.,2
kemeja,1
oks,8
nangis,17
sumber,1
jadinyaaa.,1
bareng?,1
bangsatt2,1
sejam,1
bb.🥰🤍,1
masih.,2
kasar.,1
bra,4
cowok,4
dingin,3
amat.,6
fotonyaadanya,1
baru,83
dp,1
https://www.tiktok.com/@mark_kacy/video/7046434191671594245,1
periksa,5
ibadah,1
pulang,42
brgkttt.,1
berangkattt,1
kebanyakan,4
indomart,1
ngikut,1
setres,3
belakang,4
tulisannya,2
padahal,22
acaraku,1
catokannya,1
analisis,1
ga??,2
kardus,2
seloww.,1
nikah.,1
targetku,1
cek.,2
bntuin,1
udaaahhh,1
selatan,1
cabut,7
sukaaa.,1
galau,1
gt.,13
dehh,1
it,5
*_,1
angkat2?,1
dirumah.,6
kak,,1
dilihat.,1
wkwkkwwk.,1
dhh,1
apa??,1
manaaa,1
ilangin,1
bersama,2
kebangun2,1
hpku,1
seri,1
-_-,4
babeee.,6
dan,32
ortuku,3
flag,1
leganya,1
kecelakaan.,1
asliny,1
iuran,1
refund,,1
dpn,1
gapapaa,1
hadehhhhh,1
kannn???,1
sm,39
lelah,2
while,1
telfonnn.,1
sembunyi,1
kayak,30
emang???,1
gombal,4
smpe.,1
dideketin,2
murah,11
soswit,1
demi,7
pylori,1
kerja,18
belomm,1
gila,15
aknya,1
coffeemaker.,1
temenku,16
ngheheheh,1
gebetan,2
bumi,3
download,2
dosen,1
sugar,1
geblek,3
ditelfon,8
salatiga?,2
koreksi,1
keisii,1
nilainya,1
allah.,11
nyobain,2
diandalin,1
stop,7
gamaaaooo.,1
formulatrix,1
melek.,2
mauuu???,1
4jt.,1
project,1
smgnya,1
deh?,1
suara,1
lipsticknya,1
enggaaa.,5
istirahat.,3
paracetamol,4
sembuh,1
vc.,1
udh,157
nnti,20
mama,7
whatsapp,,1
jelek,14
tataaa.,1
sangu,1
nyangkut,1
kata2in,1
mic,2
mindset,1
blocked,1
radikal,1
jemput,15
anjinkkm,1
ngewenya,1
mute,3
keluarrrr.,1
sekedar,1
yaaa???,2
dahlah.,2
izin2,1
sodaramu,1
perhatiin,2
apa???!,1
join,12
jadi2,1
ocke,1
viral,2
perumahan,1
hari,30
semalem.,1
kapann,1
magang,4
yey,4
8.00,1
kepikiran,2
pasti,19
org,5
zonk,1
wkwkwkwm.,1
jurusan,2
funfact,1
ngerayuuuu.,1
2022,2
betah.,1
sannss,1
joinn,1
dimarahin???,1
ewe,2
carbonara,1
dibahas,,1
jahaatttt.,1
ngilang,1
ganti,10
daong,1
penduduk,,1
warnanya,1
temennya.,1
kere,2
aku,1232
mau.,5
rambutny,1
kalbu?,1
https://www.traveloka.com/hotel/indonesia/star-apartment-lt-19--20-3000010002291?spec=05-01-2022.06-01-2022.1.1.hotel.3000010002291.star%20apartment%20lt.%2019%20%26%2020.2&contexts=%7b%22sourcehoteldetail%22%3a%22share_button%22%7d,1
kntllll.,1
bisni,1
ejekin,1
nyenyaaakk.,1
lama,30
siap2.,3
pelatihan,1
password,1
nyampenya?,1
siap2nyaaa,1
ngepod.,1
penting,8
apartku,1
ngirim,2
turun2,1
bahas,4
back.💦,1
oalaaahhh,1
benerin,2
depn,1
pen,1
love,10
malemmm.,1
dilakuin,1
oiya,,2
sampe?,5
ngusahain,1
batre,1
dia,,1
curhat,2
waxinh,1
mauuu.,1
rada2,1
yaudah,67
pergiii.,1
kaki,3
gw,1
ah.,1
makanan,2
beneran?,4
hilaaanggg.,1
lg???,2
jokiaann,1
tanghung,1
gila2an,2
tp,143
tutup,9
nakaalll,1
semuaaa,1
kesitu?,1
gapapa,30
hubungan,5
gaakk.,1
ap,2
adaa.,2
gpplah,1
dicuri,1
150k,3
kamu?,30
pgn,8
trs,8
soalnya,,1
akuu,1
ngerasain.,1
wkewkkw.,1
tambahin,2
laporan,1
luar?,1
telurnya,1
merknya,1
edit,1
lanjutin,3
pingsan?,1
perusahaanku,3
ettt,2
iyanih,1
diri,14
sampee,2
mu,5
perih,4
‎location:,6
ikut,21
pinter,1
wkwkwkwkwkwkwkwkwkwkwkw.,1
berantem,9
download?,1
februari,1
ngewe.,2
dateng,6
gabisaaa.,2
abisin,2
tiktoknya,1
ijo,1
ktp,2
y?,1
tjukup,1
jemurin.,1
semarang,,2
masihhh,1
omku,1
5.,1
diem2,1
jugaaa.,8
kerenbangedd,1
lihat?,2
https://www.instagram.com/reel/cz4swp8lges/?utm_source=ig_web_copy_link,1
bantu,5
baca.,2
flipnya,1
tu,11
gajelas.,3
wwkkw,3
ywdhhh.,1
orang2nya,1
putri.,1
jlek,2
agresif,1
tenangggf.,1
penting??,1
anjirr.,1
sma.,1
wkwkw,122
bunuh,1
pause,1
biarin,2
suasana,1
renangnya,1
airr,1
lambat,1
ngajak,13
wkwkwkwkwkw,4
akwk,1
10-11,1
abis,32
kunci,1
sebelumnya,2
psychological,1
dighosting,1
latihanku,1
segera.,1
ye,7
nempel.,1
085281812202,1
outside,1
hypermart,1
jugaaaa.,1
ampun,1
wkwkwkwkwkwkwkwww,1
store,1
kentuttt,1
deb,1
okeeeyy.,1
drama,5
chatny,,1
salatiga,23
sanslah,1
mans,2
hatii2,1
jendral.,1
ngitung2,1
kemanaa.,1
ngerjain,6
amatttt.,2
impoten,1
malem2.,1
agak,8
9an,1
tikett,1
belommm.,1
dikenalin,1
mti.,1
cacaaatttt.,1
surat,1
tahu.,1
excel.,1
lo.,3
...,1
jokiii.,1
pulsa,1
bongkar2,1
masuk,6
masaakkk,1
tolong,8
hatiku,1
to,15
balik?,2
baguss,3
iyadeh,2
sok2,1
otodidak,1
gaaak?,1
nyaman,5
nganterin,1
wkkww,1
sabaran,1
pacarrr.,1
nanggulan,1
kk,1
deng,17
dirumah,11
malu,10
gtgt.,3
pengeluaranku,1
dota,7
treadmill,2
iyadong,1
dirumah",1
bangunnn.,1
horror.,1
aptnya,1
bntrrr,2
bercndaaa.,1
wkwkkwk,2
pap,3
lahhh.,3
harganya,3
confess.,1
kelihatannya,1
gmni,3
ajak,11
ngapaen?,1
2016,1
ngawur,1
ngapainminta,1
bisanya,6
apartment,2
rasa,2
gausaah,1
warung?,1
hahahahahahaha.,1
mayat,1
kiss,2
iritttt.👍,1
ngewee.,1
hw?,1
berenang,2
ditanya2,1
wkwkwksksksm.,1
faktor,1
capeeekkk.,1
u,5
yeaaayy,1
ngesalty-in,1
nangisin,1
essay,1
bantuin,4
karantina,2
him,1
jalann,1
pulabg,1
rumaaaahhhh.,1
biela,1
berapa??!!,1
ngehibur,2
tau.,14
okay.,1
why,1
lihaaattt.,1
bandung,3
sembuh.,2
isunya.,1
terus.,4
heran,3
bawaaa.,2
lucuuu,4
oly,6
iman,1
berhak,1
:),5
gabut.,2
cari,10
segame,2
mantanku,1
yak,6
brili.,4
https://www.instagram.com/tv/cyofuvrbldf/?utm_medium=copy_link,1
deng.,1
udahh.,1
usa,1
deketttt,1
luas,2
dapur,2
haduh,3
ajadah,1
kitanya,1
taunya,9
cocok,9
krim,1
bsk.,1
k24,1
segampang,1
temen.,1
tai,2
iniii,2
magang.,2
gudnite,1
hepian,1
ketemu.,3
bggtt.,1
sadarrrr.,1
jadwalin,2
dihapus,2
apanya,6
cum.,1
elah,1
meninggalnya,1
iyyyy,1
dipikir,1
kwkwk,1
bener-bener,2
bgst.,3
250kan,2
ayam,2
devi,1
merokok.,1
ni,38
hitaammm.,1
enggaakk,1
iyaaaa.,19
gausah.,4
kepalanya,2
sbrrr.,1
kepengen,1
betulll,1
dimatiin????,1
kayaknyaaa.,4
rekam,2
alasan.,2
jogging?,1
beli????,1
cucunya,1
cntik.,1
pengen,22
ngegabut,1
buka?,1
selow,3
setresss.,1
gausahlah,1
jeleekkkk,1
kadang,7
tadiiii.,1
pintu,1
gym.,1
tenang?,1
gigim,1
palsu,,1
menangis2,2
blom,3
aromia.,1
overthinking,3
wakakak.,2
boys,3
mata.,1
obatnya,1
nyebutnya,1
jkt?,2
demo.,1
pembeli,1
peka,1
tangan,9
lagiiii.,2
spending,1
miss,2
ususnya,1
rayhan,2
balinya,2
gbut.,1
setujuuu.,1
jktnya,1
banget,58
strict,1
tips.,1
ugm.,1
katanyaa.,1
syapa,1
banjarsari,1
allaaaahhh.,1
(malam),1
dilokasi,1
sesi,1
lihat.,3
https://discord.gg/vnjtvrge,1
bulaann.,1
engga,16
perusahaan,5
isolasi,3
yayayaya.,1
kardusnya,2
samperr,1
nyusulll,1
me,3
balik,19
anjink,1
ovt,1
jari,2
tiktokan,3
teros.,1
makeup,1
depannya,3
